Maks 16,718 01.12.2023
Adam 18,807 01.12.2023
Maks 14,035 01.12.2023
Adam 18,247 01.12.2023
Maks 13,855 01.12.2023
Adam 17,267 01.12.2023
Marcel 47,029 01.12.2023
Kuba_B 23,672 01.12.2023
Maks 12,033 01.12.2023
Kuba 17,842 01.12.2023
PawelPawel 32,512 01.12.2023
PawelPawel 22,779 01.12.2023
Bartek 16,297 01.12.2023
PawelPawel 16,388 01.12.2023
Kacper 25,345 01.12.2023
Szymeq 19,957 01.12.2023
Szymeq 18,329 01.12.2023
Cezary 30,881 01.12.2023
Justyna 28,526 01.12.2023
Dorotka 17,537 01.12.2023
Cezary 19,318 01.12.2023
Pieczarek 16,827 01.12.2023
Dorotka 15,461 01.12.2023
Cezary 14,865 01.12.2023
Dorotka 15,033 01.12.2023
Dorotka 13,916 01.12.2023
Cezary 12,185 01.12.2023
Pawe³ 19,346 01.12.2023
Cezary 11,633 01.12.2023
Dorotka 13,004 01.12.2023
Dorotka 12,498 01.12.2023
Dorotka 13,145 01.12.2023
Cezary 10,863 01.12.2023
Dorotka 12,817 01.12.2023
MateuszF 24,559 01.12.2023
